Time,Var,Value,EPU
W_199811,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.004449404,GOM
W_199811,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.03817094,GB
W_199811,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.005595291,MAB
W_199812,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.005738073,GOM
W_199812,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01768419,GB
W_199812,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.007653933,MAB
W_199813,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01535301,GOM
W_199813,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.02324349,GB
W_199813,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01679734,MAB
W_199814,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01597857,GOM
W_199814,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.008745224,GB
W_199814,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01311173,MAB
W_199815,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.005871701,GOM
W_199815,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.01817084,GB
W_199815,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.02547151,MAB
W_199816,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01200259,GOM
W_199816,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.03599149,GB
W_199816,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01559883,MAB
W_199817,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.003008004,GOM
W_199817,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,0.02094917,GB
W_199817,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01103199,MAB
W_199818,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.01932955,GOM
W_199818,WEEKLY_PSC_FNANO_DIFFERENCE_ANOMALY,-0.008584748,GB
