cruise,station,cast,sample_name,DateUTC,Time_start_UTC,Time_end_UTC,lat,lon,depth_bottom,depth_target,avg_angle,depth_TDR,FlowMeterSerial_335,FlowStart_335,FlowEnd_335,TotFlow_335,Vol_Filtered_m3_335,NOAA_335,DNA_335,FlowMeterSerial_150,FlowStart_150,FlowEnd_150,TotFlow_150,Vol_Filtered_m3_150,MorphID_150,DNA_150,SizeFract_150,TaxaPick_150,EtOHchanged,Comments
EN668,L9,14,EN668_L9_B14,210719,14:37:00,14:56:00,40.0957,-70.8737,147,141,NA,NA,29914,200930,236898,35968,273.2907241,Y,Y,29913,989517,24278,34760,264.1121433,Y,Y,Y,Y,Y,20m/min in/out. 154m wire out. ship speed 2 kt. 1L formalin representative sample of 1/10 335um total volume 10 qt. see cruise notes for details on sub sampling. Sea save file misnames en668L09B15
EN668,L10,8,EN668_L10_B8,210718,08:24:00,09:01:00,39.909,-70.8957,533,200,NA,NA,29914,49023,153215,104192,791.6677914,Y,Y,29913,841969,943875,101906,774.298391,Y,Y,Y,Y,Y,11 calanus from 335. lots of salps. payout at 20m/min. payout 375m. retirieve at 15m/min or 20. winds 15-20 kts. ETOH samples smelling bad salps?
EN668,L11,11,EN668_L11_B11,210718,17:18:00,17:45:00,39.762,-70.8786,1578,200,NA,NA,29914,155215,200930,45715,347.3500181,Y,Y,29913,943875,989517,45642,346.7953522,Y,Y,Y,Y,Y,Ann sampling calanus from 335. actual depth 204m 252 m wire out 20m/min in/out. ship speed 1.5-2. ETOH changed early due to salp presence and changed one more time.
EN668,MVCO,25,EN668_MVCO_B25,210721,11:30:00,11:36:00,41.3132,-70.5751,NA,NA,NA,NA,29914,402051,418711,16660,126.5853943,Y,Y,29913,187545,203941,16396,124.5794793,Y,Y,Y,Y,NA,22 wire out. 10m/min in/out. 16 depth.
EN687,L1,1,EN687_L1_B1,220729,19:51:00,19:56:00,41.1835,-70.8713,21,15,35,17,29913,629690,635308,5618,42.68647931,Y,Y,29914,881600,887441,5841,44.38086964,Y,Y,Y,Y,NA,NA
EN687,L2,2,EN687_L2_B2,220730,03:50:00,04:08:00,41.0291,-70.8842,47,40,30,40,29913,635314,651913,16599,126.1219064,Y,Y,29914,887442,904435,16993,129.1155826,Y,Y,Y,Y,NA,tons of small salps. used bucket and quart jar to take a 1/10 subsample instead of using splitter. Thalia democratica
EN687,L3,22,EN687_L3_B22,220802,21:41:00,21:48:00,40.858,-70.8712,53,45,35,39,29913,923864,938613,14749,112.065305,Y,Y,29914,183685,198843,15158,115.1729536,Y,Y,Y,Y,NA,wire out 55. 15m/min.
EN687,L4,5,EN687_L4_B5,220730,12:15:00,12:29:00,40.7065,-70.8874,65,60,35,49,29913,651913,672856,20943,159.1283261,Y,Y,29914,904435,926223,21788,165.5487738,Y,Y,Y,Y,NA,70m payout at 10m/min. salpy but splitable
EN687,L5,6,EN687_L5_B6,220730,14:38:00,14:53:00,40.5201,-70.9002,76,70,40,61,29913,672856,699562,26706,202.9165391,Y,Y,29914,926223,953555,27332,207.6729891,Y,Y,Y,Y,NA,85m payout at 10m/min. increase to 95m at 20m/min for return.
EN687,L6,18,EN687_L6_B18,220802,03:57:00,04:13:00,40.3563,-70.8747,94,85,35,77,29913,873600,901085,27485,208.835508,Y,Y,29914,132587,160624,28037,213.0296939,Y,Y,Y,Y,NA,"15m/min wire speed. 110 wire out. spilled 1/2 of 150; used for SIA and taxa. flounder/hake larvae, even mix of many taxa"
EN687,L7,21,EN687_L7_B21,220802,11:35:00,11:49:00,40.2274,-70.8696,126,120,40,123,29913,901085,923846,22761,172.9417863,Y,Y,29914,160624,183888,23264,176.7636623,Y,Y,Y,Y,NA,140m payout at 20m/min. relatively low biomass.
EN687,L8,16,EN687_L8_B16,220801,13:59:00,14:14:00,40.1471,-70.7748,134,130,35,133,29913,849395,873632,24237,184.1566748,Y,Y,29914,72005,132577,60572,460.2359247,Y,Y,Y,Y,NA,programmed TDR for every 5 secs. 160m payout at 20m/min. tow 15 min duration. hit bottom.
EN687,L9,13,EN687_L9_B13,220801,08:26:00,08:41:00,40.0925,-70.8756,150,140,40,132,29913,814395,849005,34610,262.9724188,Y,Y,29914,72005,107451,35446,269.324483,Y,Y,Y,Y,NA,payout 185 at 20m/min. nothing in 500 or 100 um size classes. removed 2 jelly from 335 and 1 from 150. see cruise narrative for notes on TDR (2 min. interval)
EN687,L10,7,EN687_L10_B7,220731,07:52:00,07:55:00,39.9204,-70.9136,494,200,45,160,29913,699562,763638,64076,486.8598875,Y,Y,29914,953555,19552,65996,501.4483604,Y,Y,Y,Y,NA,"250 wire out at 20m/min, increased to 300m out. removed 1 jelly from 150um net, removed and preserved (EtOH) 1/2 from 335 and 2/2 went into NOAA jar. labels incorrently say 220730 instead of 220731 for date."
EN687,L11,10,EN687_L11_B10,220731,16:50:00,17:25:00,39.7841,-70.8922,1700,200,50,268,29913,763635,814394,50759,385.6751519,Y,Y,29914,19552,71999,52447,398.5008509,Y,Y,Y,Y,NA,wire out 320
EN687,MVCO,26,EN687_MVCO_B26,220803,08:16:00,08:19:00,41.3169,-70.5769,17,12,30,11.6,29913,938613,943784,5171,39.29010048,Y,Y,29914,198843,203829,4986,37.88444034,Y,Y,Y,Y,NA,NA
EN695,L1,1,EN695_L1_B1,230111,20:35:00,20:42:00,41.1951,-70.8842,21,17,30,20.8,29914,209845,214486,4641,35.26307413,Y,Y,29913,949381,954144,4763,36.19005001,Y,Y,Y,Y,NA,10m/min down and up. 18m payout. bongo zerod when frame completely submerged.
EN695,L2,11,EN695_L2_B11,230113,10:46:00,10:51:00,41.0144,-70.8823,47,42,NA,42,29914,445953,458388,12435,94.48315597,Y,Y,29913,169804,179369,9565,72.67642837,Y,Y,Y,Y,NA,20m/min. 50m payout
EN695,L3,10,EN695_L3_B10,230113,07:25:00,07:29:00,40.8611,-70.8788,54,50,30,48,29914,433826,445954,12128,92.15051995,Y,Y,29913,159577,169804,10227,77.70641223,Y,Y,Y,Y,NA,20m/min. 52m payout
EN695,L4,9,EN695_L4_B9,230113,04:44:00,04:49:00,40.6956,-70.8801,60,65,40,54,29914,418065,433826,15761,119.7546459,Y,Y,29913,145720,159577,13857,105.2877436,Y,Y,Y,Y,NA,NA
EN695,L5,8,EN695_L5_B8,230113,02:22:00,02:31:00,40.5128,-70.8842,77,72,40,78,29914,404554,418197,13643,103.6617368,Y,Y,29913,133484,145733,12249,93.06989766,Y,Y,Y,Y,NA,NA
EN695,L6,2,EN695_L6_B2,230112,04:04:00,04:35:00,40.3721,-70.888,92,87,40,92,29914,214486,228914,14428,109.6262947,Y,Y,29913,954147,968304,14157,107.5671925,Y,Y,Y,Y,NA,Lost all of 500-200um size fraction
EN695,L7,7,EN695_L7_B7,230112,23:14:00,23:27:00,40.2592,-70.8735,12,115,30,93,29914,381539,404545,23006,174.8033362,Y,Y,29913,112917,133459,20542,156.0814628,Y,Y,Y,Y,NA,"ring net has small hole near cod end, noticed when pulled out net (during retrieval)"
EN695,L8,6,EN695_L8_B6,230112,20:59:00,21:14:00,40.1513,-70.8692,136,140,35,NA,29914,356244,381531,25287,192.1347459,Y,Y,29913,88047,112871,24824,188.6167964,Y,Y,Y,Y,NA,"missing TDR seaStarODI data, not started before cast"
EN695,L9,3,EN695_L9_B3,230112,07:33:00,07:46:00,40.0505,-70.879,200,195,35,176,29914,228916,271208,42292,321.3415064,Y,Y,29913,968302,8636,40333,306.4567052,Y,Y,Y,Y,NA,paused payout at 94m for about 2 min. due to being under ship. 225 m payout. 20m/min up and down
EN695,L10,4,EN695_L10_B4,230112,10:20:00,10:35:00,39.944,-70.8826,442,200,35,186,29914,271208,314131,42923,326.1359472,Y,Y,29913,8636,49198,40562,308.1966845,Y,Y,Y,Y,NA,spilled small amount of 335 net when removnig  cod end; <100ml; 250m payout
EN695,L11,5,EN695_L11_B5,230112,13:00:00,13:16:00,39.7849,-70.8826,1461,200,50,224,29914,314131,356298,42167,320.391736,Y,Y,29913,49198,88062,38864,295.2950039,Y,Y,Y,Y,NA,centric diatoms. 280m payout at 20m/min
EN695,MVCO,16,EN695_MVCO_B16,230114,21:09:00,21:12:00,41.3056,-70.5833,20,20,40,14,29914,458406,463903,5497,41.7671016,Y,Y,29913,179355,184425,5070,38.52268603,Y,Y,Y,Y,NA,"during deployment cod end of ring net got tangled around wire, fixed before nets in water"
EN706,L1,1,EN706_L1_B1,230807,18:07:00,18:13:00,41.1975,-70.8675,21,16,25,29,29914,529212,536947,7735,58.77179022,Y,Y,29913,487091,494523,7432,56.46954685,Y,Y,Y,Y,230809,small hole near cod end of 350um net; cricket in sample? very dark sample; black pieces in net; tdr depths seemed wrong for this cruise deeper than they should be deeper than ctd
EN706,L2,2,EN706_L2_B2,230808,07:09:00,07:15:00,41.0281,-70.8737,45,40,25,50,29914,537101,549001,11900,90.4181388,Y,Y,29913,494651,506118,11467,87.12813425,Y,Y,Y,Y,230809,wire out 44m; tdr depths seemed wrong for this cruise
EN706,L3,20,EN706_L3_B20,230811,21:12:00,21:23:00,40.8587,-70.8788,55,50,50,62,29914,854823,883481,28658,217.7481531,Y,Y,29913,796117,814869,18752,142.4807512,Y,Y,Y,Y,Y,payout 99m wire out; used CTD realtime data went to 50m; speed 30m/min wire out and 17m/min wire in ; tdr depths seemed wrong for this cruise
EN706,L4,5,EN706_L4_B5,230808,16:20:00,16:29:00,40.6858,-70.879,66,60,25,75,29914,549143,569452,20309,154.3110908,Y,Y,29913,505348,523492,18144,137.8610681,Y,Y,Y,Y,230809,check TDR file; tdr depths seemed wrong for this cruise; wire out 66m
EN706,L5,6,EN706_L5_B6,230808,21:20:00,21:35:00,40.502,-70.8836,76,70,35,90,29914,580664,600691,20027,152.1684089,Y,Y,29913,534601,609321,74720,567.7347337,Y,Y,Y,Y,230809,TDR depth is wrong (bottom depth max 78m); redid deployment t get flowmeter values
EN706,L6,19,EN706_L6_B19,230811,09:25:00,09:38:00,40.3639,-70.8837,93,88,40,100,29914,828710,854817,26107,198.3652395,Y,Y,29913,775194,796123,20929,159.0219518,Y,Y,Y,Y,Y,used CTD realtime data for bottom depth; CTD was left on and still recording data until 20:45 while CTD on deck; tdr depths seemed wrong for this cruise
EN706,L7,14,EN706_L7_B14,230810,22:33:00,22:45:00,40.2561,-70.881,122,116,32,133,29914,777037,796024,18987,144.2663194,Y,Y,29913,724086,743838,19752,150.0789141,Y,Y,Y,Y,Y,lots of copepods; calm conditions; used CTD realtime data to get as close as possible to bottom ; tdr depths seemed wrong for this cruise
EN706,L8,15,EN706_L8_B15,230811,00:43:00,01:00:00,40.1347,-70.8703,139,134,28,145,29914,796018,828703,32685,248.3459552,Y,N,29913,743836,775195,31359,238.2707911,Y,N,Y,Y,Y,DNA 335 and 150 um samples got mixed up so no sample for those; used CTD realtime data for bottom depth but CTD stopped working on the way up; lobster larvae phylosoma in 335um
EN706,L9,13,EN706_L9_B13,230810,08:25:00,08:51:00,40.0442,-70.8897,212,200,35,217,29914,734154,777035,42881,325.8168244,Y,Y,29913,683289,724074,40785,309.8910749,Y,Y,Y,Y,Y,CTD said depth down to 204m
EN706,L10,10,EN706_L10_B10,230810,00:55:00,01:30:00,39.9265,-70.8941,450,200,45,217,29914,657288,734168,76880,584.1467656,Y,Y,29913,609343,683289,73946,561.8537556,Y,Y,Y,Y,230811,CTD worked went down to 200m; very salpy sample; some myctophiids in sample
EN706,L11,9,EN706_L11_B9,230809,18:52:00,19:22:00,39.7763,-70.8818,1522,200,35,213,29914,600701,657272,56571,429.8356748,Y,Y,29913,554992,609333,54341,412.8917715,Y,Y,Y,Y,Y,ytubing on CTD got disconnected so CTD reading might be wrong; removed sargassum from sample (small piece); TDR depth looked more reasonable on this site; removed boat pieces from sample; barely any sample in 100um size fraction SIA
EN706,MVCO,24,EN706_MVCO_B24,230812,08:38:00,08:43:00,41.311,-70.5805,19,14,45,29,29914,883481,896167,12686,96.39029486,Y,Y,29913,814860,819235,4375,33.24196279,Y,Y,Y,Y,Y,using CTD to look at depth went down to 17m
EN712,L1,1,EN712_L1_B1,240209,19:15:00,19:21:00,41.19125,-70.8849,22,17,35,15,29914,107390,118688,11298,85.84404472,Y,Y,29913,6548,7980,1432,10.88056931,Y,Y,Y,Y,240211,100um size fractions also includes >200 um forgot to pour through sieve before pouring into 100
